"office","name","party","year"
"State Representative District 60","Keffer","R",2006
"State Representative District 60","McKelvain","D",2006
"State Representative District 81","West","R",2006
"State Senator District 29","Margo","R",2006
"State Senator District 29","Shapleigh","D",2006
"US Representative District 16","Reyes","D",2006
"State Representative District 75","Johnson","R",2006
"State Representative District 75","Quintanilla","D",2006
"State Representative District 59","Casbeer","D",2006
"State Representative District 59","Miller","R",2006
"US Representative District 31","Carter","R",2006
"US Representative District 31","Harrell","D",2006
"State Representative District 57","Dunnam","D",2006
"State Representative District 62","Phillips","R",2006
"State Representative District 62","Veeck","D",2006
"State Representative District 17","Cook","D",2006
"State Representative District 17","Kleinschmidt","R",2006
"State Representative District 13","Kolkhorst","R",2006
"US Representative District 10","Ankrum","D",2006
"US Representative District 10","McCaul","R",2006
"State Representative District 28","Bottos","D",2006
"State Representative District 28","Zerwas","R",2006
"US Representative District 14","Paul","R",2006
"US Representative District 14","Sklar","D",2006
"US Representative District 22","Lampson","D",2006
"State Representative District 27","Bryant","R",2006
"State Representative District 27","Olivo","D",2006
"State Representative District 132","Callegari","R",2006
"State Senator District 7","Kubosh","D",2006
"State Senator District 7","Patrick","R",2006
"State Senator District 17","Janek","R",2006
"State Senator District 1","Eltife","R",2006
"State Senator District 5","Ogden","R",2006
"State Senator District 5","Wyman","D",2006
"State Representative District 83","Jones","R",2006
"State Representative District 83","Miller","D",2006
"State Representative District 24","Taylor","R",2006
"State Representative District 23","Eiland","D",2006
"State Representative District 29","Dawson","R",2006
"State Representative District 29","Dinovo","D",2006
"State Board of Education District 5","Mercer","R",2006
"State Representative District 73","Macias","R",2006
"State Representative District 7","Franklin","D",2006
"State Representative District 7","Merritt","R",2006
"US Representative District 1","Gohmert","R",2006
"US Representative District 1","Owen","D",2006
"US Representative District 17","Edwards","D",2006
"US Representative District 17","Taylor","R",2006
"State Senator District 25","Thomas","D",2006
"State Senator District 25","Wentworth","R",2006
"State Representative District 19","Clayton","D",2006
"State Representative District 19","Hamilton","R",2006
"US Representative District 8","Brady","R",2006
"US Representative District 8","Wright","D",2006
"State Representative District 148","Farrar","D",2006
"US Representative District 18","Hassan","R",2006
"US Representative District 18","Jackson Lee","D",2006
"State Senator District 15","DeLaRosa","R",2006
"State Senator District 15","Whitmire","D",2006
"State Representative District 150","Nelson-Turnier","D",2006
"State Representative District 150","Riddle","R",2006
"US Representative District 2","Binderim","D",2006
"US Representative District 2","Poe","R",2006
"US Representative District 7","Culberson","R",2006
"US Representative District 7","Henley","D",2006
"US Representative District 29","Green","D",2006
"US Representative District 29","Story","R",2006
"State Representative District 134","Cohen","D",2006
"State Representative District 134","Wong","R",2006
"State Representative District 136","Brann","D",2006
"State Representative District 136","Woolley","R",2006
"State Representative District 130","Van Arsdale","R",2006
"State Representative District 138","Bohac","R",2006
"State Representative District 138","McDavid","D",2006
"State Representative District 143","Hernandez","D",2006
"State Representative District 143","Olmos","R",2006
"State Representative District 127","Crabb","R",2006
"State Representative District 127","Trautman","D",2006
"State Representative District 144","Sexton","D",2006
"State Representative District 144","Talton","R",2006
"State Representative District 126","Harless","R",2006
"State Representative District 126","Khan","D",2006
"State Representative District 129","Davis","R",2006
"State Representative District 129","Matula","D",2006
"State Representative District 149","Heflin","R",2006
"State Representative District 149","Vo","D",2006
"State Representative District 133","Murphy","R",2006
"State Representative District 133","Thibaut","D",2006
"State Representative District 137","Hochberg","D",2006
"State Representative District 137","Spivey","R",2006
"State Representative District 5","Hughes","R",2006
"State Representative District 45","Neuhaus","R",2006
"State Representative District 45","Rose","D",2006
"State Representative District 4","Brown","R",2006
"State Representative District 4","Gleason","D",2006
"State Representative District 11","Durrett","R",2006
"State Representative District 11","Hopson","D",2006
"State Representative District 2","Cornuaud","D",2006
"State Representative District 2","Flynn","R",2006
"State Representative District 58","Kauffman","D",2006
"State Representative District 58","Orr","R",2006
"US Representative District 27","Ortiz","D",2006
"US Representative District 27","Vaden","R",2006
"State Representative District 55","Delisi","R",2006
"State Representative District 55","Smith","D",2006
"State Representative District 54","Aycock","R",2006
"State Representative District 54","Lindsay","D",2006
"State Representative District 20","Gattis","R",2006
"State Representative District 20","Stauber","D",2006
"State Representative District 18","Otto","R",2006
"State Representative District 123","Villarreal","D",2006
"US Representative District 20","Gonzalez","D",2006
"State Representative District 124","King","R",2006
"State Representative District 124","Menendez","D",2006
"State Representative District 118","Antuna","R",2006
"State Representative District 118","Farias","D",2006
"State Representative District 117","Kenyon","R",2006
"State Representative District 117","Leibowitz","D",2006
"State Representative District 125","Balido","R",2006
"State Representative District 125","Castro","D",2006
"State Representative District 116","Martinez Fischer","D",2006
"State Representative District 121","Straus","R",2006
"State Representative District 122","Corte","R",2006
"State Representative District 122","Stallings","D",2006
"State Representative District 120","McClendon","D",2006
"State Representative District 84","Isett","R",2006
"State Representative District 84","Mayfield","D",2006
"State Representative District 56","Anderson","R",2006
"State Representative District 1","Frost","D",2006
"State Representative District 72","Darby","R",2006
"State Representative District 16","Creighton","R",2006
"State Representative District 16","Poland","D",2006
"State Representative District 15","Eissler","R",2006
"State Representative District 15","Miller","D",2006
"State Representative District 71","Hailey","D",2006
"State Representative District 71","King","R",2006
"State Representative District 34","Herrero","D",2006
"State Representative District 33","McComb","R",2006
"State Representative District 33","Ortiz","D",2006
"State Representative District 32","Garcia","D",2006
"State Representative District 32","Seaman","R",2006
"State Representative District 61","King","R",2006
"US Representative District 12","Granger","R",2006
"US Representative District 12","Morris","D",2006
"State Representative District 12","Anderson","R",2006
"State Representative District 12","McReynolds","D",2006
"State Representative District 90","Burnam","D",2006
"State Representative District 97","Barrett","D",2006
"State Representative District 97","Mowery","R",2006
"State Representative District 96","Youngblood","D",2006
"State Representative District 96","Zedler","R",2006
"State Representative District 91","Hancock","R",2006
"State Representative District 91","Sibbet","D",2006
"State Representative District 94","Patrick","R",2006
"State Representative District 94","Pillow","D",2006
"State Representative District 93","Goodman","R",2006
"State Representative District 93","Pierson","D",2006
"State Representative District 98","Truitt","R",2006
"State Representative District 99","Ford","D",2006
"State Representative District 99","Geren","R",2006
"State Representative District 46","Dukes","D",2006
"State Senator District 14","Watson","D",2006
"State Representative District 50","Fleece","R",2006
"State Representative District 50","Strama","D",2006
"State Representative District 51","Rodriguez","D",2006
"State Representative District 52","Felthauser","D",2006
"State Representative District 52","Krusee","R",2006
"State Representative District 49","Naishtat","D",2006
"State Representative District 48","Howard","D",2006
"State Representative District 47","Bolton","D",2006
"State Representative District 47","Welch","R",2006
"State Representative District 69","Craft","R",2006
"State Representative District 69","Farabee","D",2006
"State Representative District 38","Cavazos","R",2006
"State Representative District 38","Lucio","D",2006
"State Representative District 70","Koster","D",2006
"State Representative District 70","Paxton","R",2006
"State Representative District 66","McCall","R",2006
"Court of Criminal Appeals Seat 3","Price","R",2008
"Court of Criminal Appeals Seat 3","Strawn","D",2008
"Court of Criminal Appeals Seat 4","Molina","D",2008
"Court of Criminal Appeals Seat 4","Womack","R",2008
"Court of Criminal Appeals Seat 9","Cochran","R",2008
"US President","McCain","R",2008
"US President","Obama","D",2008
